Data,Dia da Semana,Feriado
11/15/2024,sexta-feira,Proclamação da República
12/25/2024,quarta-feira,Natal
1/1/2025,quarta-feira,Confraternização Universal
3/3/2025,segunda-feira,Carnaval
3/4/2025,terça-feira,Carnaval
4/18/2025,sexta-feira,Paixão de Cristo
4/21/2025,segunda-feira,Tiradentes
5/1/2025,quinta-feira,Dia do Trabalho
6/19/2025,quinta-feira,Corpus Christi
9/7/2025,domingo,Independência do Brasil
10/12/2025,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2025,domingo,Finados
11/15/2025,sábado,Proclamação da República
12/25/2025,quinta-feira,Natal
1/1/2026,quinta-feira,Confraternização Universal
2/16/2026,segunda-feira,Carnaval
2/17/2026,terça-feira,Carnaval
4/3/2026,sexta-feira,Paixão de Cristo
4/21/2026,terça-feira,Tiradentes
5/1/2026,sexta-feira,Dia do Trabalho
6/4/2026,quinta-feira,Corpus Christi
9/7/2026,segunda-feira,Independência do Brasil
10/12/2026,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2026,segunda-feira,Finados
11/15/2026,domingo,Proclamação da República
12/25/2026,sexta-feira,Natal
1/1/2027,sexta-feira,Confraternização Universal
2/8/2027,segunda-feira,Carnaval
2/9/2027,terça-feira,Carnaval
3/26/2027,sexta-feira,Paixão de Cristo
4/21/2027,quarta-feira,Tiradentes
5/1/2027,sábado,Dia do Trabalho
5/27/2027,quinta-feira,Corpus Christi
9/7/2027,terça-feira,Independência do Brasil
10/12/2027,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2027,terça-feira,Finados
11/15/2027,segunda-feira,Proclamação da República
12/25/2027,sábado,Natal
1/1/2028,sábado,Confraternização Universal
2/28/2028,segunda-feira,Carnaval
2/29/2028,terça-feira,Carnaval
4/14/2028,sexta-feira,Paixão de Cristo
4/21/2028,sexta-feira,Tiradentes
5/1/2028,segunda-feira,Dia do Trabalho
6/15/2028,quinta-feira,Corpus Christi
9/7/2028,quinta-feira,Independência do Brasil
10/12/2028,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2028,quinta-feira,Finados
11/15/2028,quarta-feira,Proclamação da República
12/25/2028,segunda-feira,Natal
1/1/2029,segunda-feira,Confraternização Universal
2/12/2029,segunda-feira,Carnaval
2/13/2029,terça-feira,Carnaval
3/30/2029,sexta-feira,Paixão de Cristo
4/21/2029,sábado,Tiradentes
5/1/2029,terça-feira,Dia do Trabalho
5/31/2029,quinta-feira,Corpus Christi
9/7/2029,sexta-feira,Independência do Brasil
10/12/2029,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2029,sexta-feira,Finados
11/15/2029,quinta-feira,Proclamação da República
12/25/2029,terça-feira,Natal
1/1/2030,terça-feira,Confraternização Universal
3/4/2030,segunda-feira,Carnaval
3/5/2030,terça-feira,Carnaval
4/19/2030,sexta-feira,Paixão de Cristo
4/21/2030,domingo,Tiradentes
5/1/2030,quarta-feira,Dia do Trabalho
6/20/2030,quinta-feira,Corpus Christi
9/7/2030,sábado,Independência do Brasil
10/12/2030,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2030,sábado,Finados
11/15/2030,sexta-feira,Proclamação da República
12/25/2030,quarta-feira,Natal
1/1/2031,quarta-feira,Confraternização Universal
2/24/2031,segunda-feira,Carnaval
2/25/2031,terça-feira,Carnaval
4/11/2031,sexta-feira,Paixão de Cristo
4/21/2031,segunda-feira,Tiradentes
5/1/2031,quinta-feira,Dia do Trabalho
6/12/2031,quinta-feira,Corpus Christi
9/7/2031,domingo,Independência do Brasil
10/12/2031,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2031,domingo,Finados
11/15/2031,sábado,Proclamação da República
12/25/2031,quinta-feira,Natal
1/1/2032,quinta-feira,Confraternização Universal
2/9/2032,segunda-feira,Carnaval
2/10/2032,terça-feira,Carnaval
3/26/2032,sexta-feira,Paixão de Cristo
4/21/2032,quarta-feira,Tiradentes
5/1/2032,sábado,Dia do Trabalho
5/27/2032,quinta-feira,Corpus Christi
9/7/2032,terça-feira,Independência do Brasil
10/12/2032,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2032,terça-feira,Finados
11/15/2032,segunda-feira,Proclamação da República
12/25/2032,sábado,Natal
1/1/2033,sábado,Confraternização Universal
2/28/2033,segunda-feira,Carnaval
3/1/2033,terça-feira,Carnaval
4/15/2033,sexta-feira,Paixão de Cristo
4/21/2033,quinta-feira,Tiradentes
5/1/2033,domingo,Dia do Trabalho
6/16/2033,quinta-feira,Corpus Christi
9/7/2033,quarta-feira,Independência do Brasil
10/12/2033,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2033,quarta-feira,Finados
11/15/2033,terça-feira,Proclamação da República
12/25/2033,domingo,Natal
1/1/2034,domingo,Confraternização Universal
2/20/2034,segunda-feira,Carnaval
2/21/2034,terça-feira,Carnaval
4/7/2034,sexta-feira,Paixão de Cristo
4/21/2034,sexta-feira,Tiradentes
5/1/2034,segunda-feira,Dia do Trabalho
6/8/2034,quinta-feira,Corpus Christi
9/7/2034,quinta-feira,Independência do Brasil
10/12/2034,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2034,quinta-feira,Finados
11/15/2034,quarta-feira,Proclamação da República
12/25/2034,segunda-feira,Natal
1/1/2035,segunda-feira,Confraternização Universal
2/5/2035,segunda-feira,Carnaval
2/6/2035,terça-feira,Carnaval
3/23/2035,sexta-feira,Paixão de Cristo
4/21/2035,sábado,Tiradentes
5/1/2035,terça-feira,Dia do Trabalho
5/24/2035,quinta-feira,Corpus Christi
9/7/2035,sexta-feira,Independência do Brasil
10/12/2035,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2035,sexta-feira,Finados
11/15/2035,quinta-feira,Proclamação da República
12/25/2035,terça-feira,Natal
1/1/2036,terça-feira,Confraternização Universal
2/25/2036,segunda-feira,Carnaval
2/26/2036,terça-feira,Carnaval
4/11/2036,sexta-feira,Paixão de Cristo
4/21/2036,segunda-feira,Tiradentes
5/1/2036,quinta-feira,Dia do Trabalho
6/12/2036,quinta-feira,Corpus Christi
9/7/2036,domingo,Independência do Brasil
10/12/2036,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2036,domingo,Finados
11/15/2036,sábado,Proclamação da República
12/25/2036,quinta-feira,Natal
1/1/2037,quinta-feira,Confraternização Universal
2/16/2037,segunda-feira,Carnaval
2/17/2037,terça-feira,Carnaval
4/3/2037,sexta-feira,Paixão de Cristo
4/21/2037,terça-feira,Tiradentes
5/1/2037,sexta-feira,Dia do Trabalho
6/4/2037,quinta-feira,Corpus Christi
9/7/2037,segunda-feira,Independência do Brasil
10/12/2037,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2037,segunda-feira,Finados
11/15/2037,domingo,Proclamação da República
12/25/2037,sexta-feira,Natal
